ISIN,name,ticker,bourso_symbol
FR0011950732p,Elior Group,ELIOR,1rPELIOR
FR0011981968p,Worldline,WLN,1rPWLN
FR0012435121p,Elis,ELIS,1rPELIS
FR0012757854p,Spie,SPIE,1rPSPIE
FR0013154002p,Sartorius Stedim Biotech,DIM,1rPDIM
FR0013176526p,Valeo,FR,1rPFR
FR0013181864p,CGG,CGG,1rPCGG
FR0013199916p,Somfy Intl,SO,1rPSO
FR0013227113p,Soitec Silicon,SOI,1rPSOI
FR0013258662p,Ald,ALD,1rPALD
FR0013269123p,Rubis,RUI,1rPRUI
FR0013280286p,Biomerieux,BIM,1rPBIM
FR0013326246p,Unibail Rodamco Wes,URW,1rAURW
FR0013379484p,Solutions 30,S30,1rPS30
FR0013447729p,Verallia,VRLA,1rPVRLA
FR0013451333p,La Francaise des jeux,FDJ,1rPFDJ
FR0013506730p,Vallourec,VK,1rPVK
FR0014000MR3p,Eurofins Scient.,ERF,1rPERF
FR0014003TT8p,Dassault Systemes,DSY,1rPDSY
FR0014004L86p,Dassault Aviation,AM,1rPAM
FR0014005AL0p,Antin infra Partn,ANTIN,1rPANTIN
FR0014005HJ9p,OVH,OVH,1rPOVH
FR0014008VX5p,Euroapi,EAPI,1rPEAPI
FR001400AJ45p,Michelin,ML,1rPML
LU0088087324p,SES Sa,SESG,1rPSESG
LU0569974404p,Aperam,APAM,1rAAPAM
LU1598757687p,Arcelor Mittal,MT,1rAMT
NL0000226223p,Stmicroelectronics,STM,1rPSTM
NL0000235190p,Airbus,AIR,1rPAIR
NL0006294274p,Euronext,ENX,1rPENX
NL0014559478p,Technip Energies,TE,1rPTE
NL00150001Q9p,Stellantis,STLA,1rPSTLA
BE0974310428p,X-Fab,XFAB,1rPXFAB
CH0308403085p,GeNeuro,GNRO,1rPGNRO
FR0000031122p,Air France - KLM,AF,1rPAF
FR0000031577p,Virbac,VIRP,1rPVIRP
FR0000031775p,Vicat,VCT,1rPVCT
FR0000032278p,Latecoere,LAT,1rPLAT
FR0000032526p,Guerbet,GBT,1rPGBT
FR0000033003p,Touax,TOUP,1rPTOUP
FR0000033219p,Altarea,ALTA,1rPALTA
FR0000033904p,Jacquet Metals,JCQ,1rPJCQ
FR0000034548p,Union Fin.France,UFF,1rPUFF
FR0000035081p,Icade,ICAD,1rPICAD
FR0000035164p,Beneteau,BEN,1rPBEN
FR0000035370p,Bastide Le Confort,BLC,1rPBLC
FR0000038242p,Lumibird,LBIRD,1rPLBIRD
FR0000038606p,Manitou Bf,MTU,1rPMTU
FR0000039091p,Robertet,RBT,1rPRBT
FR0000039109p,Seche Environnement,SCHP,1rPSCHP
FR0000039232p,Aurea,AURE,1rPAURE
FR0000039299p,Bollore,BOL,1rPBOL
FR0000039620p,Mersen,MRN,1rPMRN
FR0000044448p,Nexans,NEX,1rPNEX
FR0000045072p,Credit Agricole,ACA,1rPACA
FR0000050353p,Lisi,FII,1rPFII
FR0000050809p,Sopra Steria Group,SOP,1rPSOP
FR0000051070p,Maurel Et Prom,MAU,1rPMAU
FR0000051732p,Atos,ATO,1rPATO
FR0000051807p,Teleperformance,TEP,1rPTEP
FR0000052292p,Hermes,RMS,1rPRMS
FR0000052516p,Vilmorin Cie,RIN,1rPRIN
FR0000053027p,Akwel,AKW,1rPAKW
FR0000053225p,Metropole Tv,MMT,1rPMMT
FR0000053324p,Alpes (compagnie),CDA,1rPCDA
FR0000053381p,Derichebourg,DBG,1rPDBG
FR0000053506p,Cegedim,CGM,1rPCGM
FR0000054231p,High Co,HCO,1rPHCO
FR0000054322p,Cibox Inter A Ctiv,ALCIB,1rPALCIB
FR0000054470p,Ubisoft Entertainment,UBI,1rPUBI
FR0000054900p,Tf1,TFI,1rPTFI
FR0000060402p,Albioma,ABIO,
FR0000061129p,Boiron,BOI,1rPBOI
FR0000061459p,Gerard Perrier Industrie,PERR,1rPPERR
FR0000062671p,Exail technologies,EXA,1rPEXA
FR0000062796p,Vranken Monopole,VRAP,1rPVRAP
FR0000062978p,Dekuple,DKUPL,1rPDKUPL
FR0000063737p,Aubay,AUB,1rPAUB
FR0000063935p,Bonduelle,BON,1rPBON
FR0000064446p,CIS (Catering Intl Sces),ALCIS,1rPALCIS
FR0000064578p,Covivio,COV,1rPCOV
FR0000064784p,Peugeot Invest,PEUG,1rPPEUG
FR0000065278p,Hopscotch Groupe,ALHOP,1rPALHOP
FR0000065971p,Graines Voltz,GRVO,1rPGRVO
FR0000066607p,Lacroix Industries,LACR,1rPLACR
FR0000066672p,Gl Events,GLO,1rPGLO
FR0000066722p,Guillemot,GUI,1rPGUI
FR0000066755p,Haulotte Group,PIG,1rPPIG
FR0000071946p,Alten,ATE,1rPATE
FR0000072373p,Egide,ALGID,1rPALGID
FR0000072894p,Cast,CAS,
FR0000073041p,Pierre Vacances,VAC,1rPVAC
FR0000073272p,Safran,SAF,1rPSAF
FR0000073298p,Ipsos,IPS,1rPIPS
FR0000074072p,Bigben Interactive,BIG,1rPBIG
FR0000074122p,Sii,SII,1rPSII
FR0000074148p,Assystem,ASY,1rPASY
FR0000074783p,Artmarket.com,PRC,1rPPRC
FR0000075392p,Orapi,ORAP,1rPORAP
FR0000076655p,Actia Group,ATI,1rPATI
FR0000076861p,Acteos,EOS,1rPEOS
FR0000077570p,Micropole,ALMIC,1rPALMIC
FR0000077919p,Jc Decaux Sa.,DEC,1rPDEC
FR0000120073p,Air Liquide,AI,1rPAI
FR0000120172p,Carrefour,CA,1rPCA
FR0000120271p,TotalEnergies,TTE,1rPTTE
FR0000120321p,L'oreal,OR,1rPOR
FR0000120404p,Accor Hotels,AC,1rPAC
FR0000120503p,Bouygues,EN,1rPEN
FR0000120560p,Quadient,QDT,1rPQDT
FR0000120578p,Sanofi,SAN,1rPSAN
FR0000120628p,Axa,CS,1rPCS
FR0000120644p,Danone,BN,1rPBN
FR0000120669p,Esso,ES,1rPES
FR0000120693p,Pernod Ricard,RI,1rPRI
FR0000120859p,Imerys,NK,1rPNK
FR0000120966p,Bic,BB,1rPBB
FR0000121014p,Lvmh,MC,1rPMC
FR0000121121p,Eurazeo,RF,bourse
FR0000121147p,Faurecia,EO,1rPEO
FR0000121204p,Wendel Invest.,MF,1rPMF
FR0000121220p,Sodexo,SW,1rPSW
FR0000121329p,Thales,HO,1rPHO
FR0000121485p,Kering,KER,1rPKER
FR0000121667p,EssilorLuxottica,EL,1rPEL
FR0000121709p,Seb,SK,1rPSK
FR0000121964p,Klepierre,LI,1rPLI
FR0000121972p,Schneider Electric,SU,1rPSU
FR0000124141p,Veolia Environ.,VIE,1rPVIE
FR0000124570p,Plastic Omnium,POM,1rPPOM
FR0000125007p,Saint Gobain,SGO,1rPSGO
FR0000125338p,CapGemini,CAP,1rPCAP
FR0000125486p,Vinci,DG,1rPDG
FR0000125585p,Casino Guichard,CO,1rPCO
FR0000127771p,Vivendi,VIV,1rPVIV
FR0000130213p,Lagardere,MMB,1rPMMB
FR0000130395p,Remy Cointreau,RCO,1rPRCO
FR0000130452p,Eiffage,FGR,1rPFGR
